"","GeneID","Cluster","ComparisonGroup"
"159","LOC107276009","cluster2","Group1"
"160","LOC107281760","cluster2","Group1"
"161","LOC112939844","cluster2","Group1"
"162","LOC4350506","cluster2","Group1"
"163","LOC4351824","cluster2","Group1"
"164","LOC4341101","cluster2","Group1"
"165","LOC9269397","cluster2","Group1"
"166","LOC107280886","cluster2","Group1"
"167","LOC107280785","cluster2","Group1"
"168","LOC4332311","cluster2","Group1"
"169","LOC107280693","cluster2","Group1"
"170","LOC112936398","cluster2","Group1"
"171","LOC4337187","cluster2","Group1"
"172","LOC107276772","cluster2","Group1"
"173","LOC107275265","cluster2","Group1"
"174","LOC9271516","cluster2","Group1"
"175","LOC107276325","cluster2","Group1"
"176","LOC4342286","cluster2","Group1"
"177","LOC4349191","cluster2","Group1"
"178","LOC4341565","cluster2","Group1"
"179","LOC4349188","cluster2","Group1"
"180","LOC4333555","cluster2","Group1"
"181","LOC107275421","cluster2","Group1"
"182","LOC4341634","cluster2","Group1"
"183","LOC4345194","cluster2","Group1"
"184","LOC4339142","cluster2","Group1"
"185","LOC107276380","cluster2","Group1"
"186","LOC4327377","cluster2","Group1"
"187","LOC4341174","cluster2","Group1"
"188","LOC4351482","cluster2","Group1"
"189","LOC4326511","cluster2","Group1"
"190","LOC4347975","cluster2","Group1"
"191","LOC4333953","cluster2","Group1"
"192","LOC4327833","cluster2","Group1"
"193","LOC4350078","cluster2","Group1"
"194","LOC4344839","cluster2","Group1"
"195","LOC4348831","cluster2","Group1"
"196","LOC4340791","cluster2","Group1"
"197","LOC4340855","cluster2","Group1"
"198","LOC4348859","cluster2","Group1"
"199","LOC107275678","cluster2","Group1"
"200","LOC9269649","cluster2","Group1"
"201","LOC4339736","cluster2","Group1"
"202","LOC9267268","cluster2","Group1"
"203","LOC107277973","cluster2","Group1"
"204","LOC112938694","cluster2","Group1"
"205","LOC107277426","cluster2","Group1"
"206","LOC4323897","cluster2","Group1"
"207","LOC4334104","cluster2","Group1"
"208","LOC4344646","cluster2","Group1"
"209","LOC4343009","cluster2","Group1"
"210","LOC4329447","cluster2","Group1"
"211","LOC4335886","cluster2","Group1"
"212","LOC4341526","cluster2","Group1"
"213","LOC4331118","cluster2","Group1"
"214","LOC9270209","cluster2","Group1"
"215","LOC4324481","cluster2","Group1"
"216","LOC4339881","cluster2","Group1"
"217","LOC4330826","cluster2","Group1"
"218","LOC4337739","cluster2","Group1"
"219","LOC4345525","cluster2","Group1"
"220","LOC107278553","cluster2","Group1"
