"","Input_1_cpmZscore","Input_2_cpmZscore","Input_3_cpmZscore","HK_Input_1_cpmZscore","HK_Input_2_cpmZscore","HK_Input_3_cpmZscore","HK_Ecoil_1_cpmZscore","HK_Ecoil_2_cpmZscore","HK_Ecoil_3_cpmZscore","HK_water_1_cpmZscore","HK_water_2_cpmZscore","HK_water_3_cpmZscore"
"LOC107275253",-1.1452182414794,-1.47290185369864,-1.41983615569367,0.00287156748828636,-0.406642350532231,-0.800692028362631,0.755001590208487,1.130582127644,0.756854028819327,0.874384984829466,0.757525166207652,0.968071164569364
"LOC107275258",-1.17583654576024,-1.44286842899935,-1.14652977915995,1.22004973630482,0.835101599669824,1.43267565209883,-0.804938695219069,-0.112078601668478,-0.264936641535699,0.842945664038238,-0.110905278955557,0.727321319186643
"LOC107275265",1.70980950662828,0.572755530200404,1.29446572769551,0.224348685578235,0.435178249353473,-0.55834626861528,-0.120063190070076,0.532854851375583,-0.158141143411323,-1.4786958156217,-1.22302515440786,-1.23114097870524
"LOC107275278",1.26882352020601,0.304182545501683,-0.235676459027209,1.50952148540924,0.957533064606722,1.13986602764803,-1.0680010784007,-0.861037711451658,-1.1151781468209,-1.13182568920979,-0.534871571188196,-0.233335987273235
"LOC107275279",-0.46162497543973,-1.28434046447729,-0.815687010952782,0.466938549513179,-0.990320343350599,-0.886521618713243,-0.100765950721947,0.301795025593538,0.0701325329633433,2.30849252170696,0.900101000365867,0.491800733512707
"LOC107275280",1.21762400465868,1.28319294653425,0.804589527448808,-0.921064452667264,-0.48518201416617,-0.356552981666771,0.402771370347395,1.34934131870913,0.0186077593960027,-1.56848278506213,-0.719322335623144,-1.02552235790879
"LOC107275287",-1.39917073919828,-1.47661969610619,-1.55644117236357,-0.0490473898846375,-0.0250991347149544,-0.412238913159916,0.914013635371729,0.857279640043113,0.803545271056008,1.16357741017166,0.585312323843885,0.594888764941158
"LOC107275295",-1.20977762700448,-1.3518483333852,-1.49176133301831,-0.314929331895958,-0.181044481205829,-0.487876212029619,0.776321721638065,0.198542741341505,0.650491749655604,1.0395392410526,0.908923238154028,1.4634186266976
"LOC107275300",-0.103189235237257,1.64068389416643,1.19145862152027,1.55168706208285,0.362886401343713,0.197497036153364,-1.03175891001717,-1.03175891001717,-0.822002205081699,-0.26885751775714,-0.836334388926346,-0.850311848229839
"LOC107275332",1.57378440816222,1.71937975012641,1.52988994218923,0.0194443370302296,-0.241520898574688,-0.308391962539554,-0.707787389063263,-0.694148801559737,-0.699052579514148,-0.730868570297082,-0.725661216909199,-0.735067019050419
"LOC107275342",0.529055115719516,-0.0525336763339618,1.01977461416818,1.31788112099359,1.26879941504987,1.19993337681398,-0.994671145369486,-0.993571730424752,-0.981314284277586,-0.443225335525965,-0.990865384714319,-0.879262086099071
"LOC107275367",-1.85163892981616,-1.07248484489715,-1.11248178100768,-0.606632173460359,-0.0788680607045429,-0.30879683310543,0.957112180001422,0.393874363195245,0.530358444427673,1.21253998911501,0.881150812174835,1.05586683407713
"LOC107275376",-0.640150940793348,-0.569095023017223,-0.870527998513775,-0.408687469662642,-0.720421222835544,-1.07935285040492,-0.229386259584398,-0.112693094547196,-0.0926971104541865,1.8756155946188,1.34686587574232,1.50053049945211
"LOC107275382",1.58407450518182,1.80454582207653,1.2443944206439,-0.907405333129596,-1.01857121728516,-0.645255722715479,0.33684415663246,-0.50970792832041,-0.16082352701191,-0.51200173354278,-0.670737958433927,-0.545355484095445
"LOC107275384",1.92241556008325,1.5153521611335,1.51123444965124,-0.543622353805456,-0.533757056014184,-0.561810667383585,-0.561810667383585,-0.507920194042328,-0.561810667383585,-0.554649230088092,-0.561810667383585,-0.561810667383585
"LOC107275421",0.976982930904957,1.09127304215164,1.01150615701955,0.967314176604341,0.528040259101221,-0.443144154663349,-0.378313374367994,0.0290462288103083,0.456960968672903,-1.58291532852482,-1.45686898752841,-1.19988191818034
"LOC107275429",-0.198771686204782,1.13227606069593,0.198651637427251,-0.487545608101528,-0.141341732485326,0.110136577518681,0.873149616748659,0.994352429790674,1.38131625643645,-1.7466289477674,-0.598762749210811,-1.5168318548478
"LOC107275437",-0.889376737063013,-0.64455135584864,-1.00094611425317,-0.819241534350689,-1.29259708511655,-0.00783892434140513,-0.110206410056565,0.995097004212635,-0.0397032086850526,1.48225991984121,0.643503083350428,1.68360136231081
"LOC107275465",0.365630697653259,0.173963710225935,-0.00998300369666085,1.81744712271809,1.47364374326549,0.828761403473581,-0.567640800521884,-0.692031408184178,-0.0611380807843933,-1.40669685799703,-0.813076500907462,-1.10888002524474
"LOC107275474",0.227261904968474,-0.111123195789323,-0.0142912875897631,1.57490891670848,0.51153918954021,0.597385418994661,-0.836335991505318,-1.30706489964843,-1.72246031400765,0.704539183217761,-0.785638500761035,1.16127957587192
"LOC107275485",0.987987878919496,2.61170952902302,-0.0574201396167246,0.0488467327539509,-0.0477021216277016,0.479134451326581,-0.903721389579601,-0.785644975541242,-0.741392896997235,-0.787180138035075,-0.540790086822604,-0.263826843802868
"LOC107275489",2.64269300357903,1.0990793895068,0.748776908656242,-0.508790385756381,-0.508790385756381,-0.508790385756381,-0.508790385756381,-0.420226215691024,-0.508790385756381,-0.508790385756381,-0.508790385756381,-0.508790385756381
"LOC107275525",-0.837472286311848,-0.675905480585261,-1.05976732811143,2.18701583683567,1.24494605748783,1.00076628667835,-0.514769008210007,-0.453819001455823,-0.909123138156298,-0.146958274537554,-0.0780119036083375,0.24309823997471
"LOC107275533",-0.00960870482225715,-0.763810454261478,-0.378840153390465,0.0539094052564512,-0.473106537233536,-1.05133709529773,-0.745725275093388,-0.512729008548212,-0.730682924655784,2.0629728202249,1.07003970759956,1.47891822022194
"LOC107275549",1.84725707666611,1.59017451824321,1.38035830184006,-0.177861879467403,-0.106353859738336,-0.261919095898558,-0.69663857421342,-0.696406348713582,-0.708580270698189,-0.723343289339968,-0.723343289339968,-0.723343289339968
"LOC107275566",1.25446915395529,2.12440013435389,1.38952138767829,-0.797468932742493,-0.592888018599064,-0.546480573863694,-0.201931729773297,-0.406532608515799,-0.204045838463026,-0.909132033034794,-0.499297974201956,-0.610612966793345
"LOC107275575",0.403828995015214,2.46084209842875,1.1046542067692,-1.27581954632015,-0.0993627437150248,0.443261637387637,-0.461456749757103,-0.313907400043056,-0.571665524288512,-0.760891203308446,-0.267712798489805,-0.661770971678697
"LOC107275586",-1.21431506861734,-1.5455785851589,-1.4430885835025,0.157959542891664,0.112261241200976,0.604919136756888,0.896216937095924,1.13331861013942,1.53624935278554,-0.422130386773387,0.15456607416706,0.0296217290146558
"LOC107275590",-0.675865639466432,-0.00893528810020711,-0.3906928288391,1.37215684380075,2.12504762246216,1.20881344973782,-0.411001161151661,-0.218423897394278,-0.634317077379225,-0.770602892299101,-0.946247113777354,-0.649932017593371
"LOC107275591",0.0165269544014769,0.344414589004313,0.604828650306684,1.29421243502014,1.75836009372794,0.971136898574377,-0.383971300142842,-0.945744269903543,-0.536310115504305,-1.37893496008292,-0.709878366274058,-1.03464060912726
"LOC107275592",0.270863018426084,0.688536444325662,0.329721865067904,1.44751763321871,1.11552375491866,1.35349354490633,-0.446906528940251,-0.532237754780088,-0.759213601960702,-1.05147403337861,-1.41895710058574,-0.996867241217967
"LOC107275607",-1.14443726432436,-1.16652252302626,-1.17708490510537,1.16798799778628,0.150919210105323,0.620256890581219,1.57295236648001,1.09307812244771,0.664176325872055,-0.641928097239314,-0.591535400050615,-0.547862723526696
"LOC107275608",1.94574159442802,2.0513181746578,0.654556207007088,-0.505030207689023,-0.226574771947087,-0.463442668737439,-0.621202573656523,-0.738666763259836,-0.649400196017664,-0.499109354954745,-0.42569417045798,-0.522495269372609
"LOC107275616",1.53449440690431,2.03908311431614,1.33711004164646,-0.518116806832623,-0.5312514816758,-0.560163794214575,-0.484702856718466,-0.506375747730431,-0.539805493472587,-0.631851363066356,-0.518378803788224,-0.620041215367847
"LOC107275628",-1.05774563640584,-1.05754393682926,-1.09947233508482,1.8024757700186,1.24437190712403,0.57820335138013,0.150918665092626,0.848298473977855,0.581779723732261,-0.702525467082913,-0.551139018535905,-0.737621497386759
"LOC107275637",0.457284439883084,0.470444152133781,1.05182282332225,-0.299780366290907,2.1340211748551,0.841775574344186,-0.791714913116669,-0.786915493028317,-0.733406457561443,-0.603821367248585,-0.396086503168402,-1.34362306412407
"LOC107275653",1.43744469590642,2.01770009512168,1.35632115125537,-0.364784505121249,-0.207662106516976,-0.128409896231432,-0.615814750382744,-0.648047402278516,-0.700139344465519,-0.663433057903367,-0.720186597301117,-0.762988282082556
"LOC107275654",-0.957547876964673,-0.861405130770519,-1.08569098590527,-0.365056249168439,0.85907703949947,-1.17518872322664,0.254289266065217,1.32316922724012,1.99101782574065,-0.0326697896867382,0.278084686169251,-0.228079288992435
"LOC107275658",1.87957374500669,1.05351845898312,1.00191918385559,0.262138176075914,-0.118087865486543,-0.678365534603975,-1.22476124191159,-1.08350023531005,-1.35467891978055,0.508501607795251,-0.202360338510129,-0.0438970361137089
"LOC107275669",1.68616382193555,1.56643903492677,1.7140570917358,-0.484075050017751,-0.456853134216556,-0.526618134317712,-0.532082138474263,-0.600448760806416,-0.600448760806416,-0.600448760806416,-0.56523644834617,-0.600448760806416
"LOC107275672",1.4905753593025,1.86650999226382,1.59630625031316,-0.550488564626222,-0.531983578790004,-0.490185115471056,-0.533391641766603,-0.483470726088377,-0.532567314825547,-0.606463845071902,-0.614852370350825,-0.609988444888943
"LOC107275673",1.54296508573699,1.93721376269739,1.38360329035397,-0.441762751427047,-0.273838559212471,-0.281855787576707,-0.660727829630682,-0.854257357110113,-0.733437798403665,-0.661830853099845,-0.437942612649167,-0.518128589678656
"LOC107275675",-0.332598972690222,-0.631286688762019,-0.630866955682059,1.08442037760686,1.62664484102958,2.0824912070037,-0.30151343672383,-0.392667012381587,-0.370607472518808,-0.784372244411704,-0.561475294461483,-0.788168348008427
"LOC107275678",1.32811856025291,1.20256853413789,0.430810320544008,0.388014276204402,-0.213807048736102,1.64672149019031,-0.708261359306302,-1.33546879966556,-1.29469273141247,-0.632184527640615,-0.459991947157686,-0.35182676741078
"LOC107275686",0.611617316305052,1.10413408330921,1.50666972522393,0.94509317115183,0.688364652132547,0.737790049341107,-0.98059313226855,-0.928334997091521,-0.972487825630772,-0.851636631238903,-0.925597856768411,-0.93501855446552
"LOC107275689",-1.40682254283083,-1.26586493918557,-1.2912037610481,0.827321112990057,0.89595105776676,-0.188690589429433,0.895503866630947,0.557501015438161,1.55351623415085,-0.804070712150274,0.23595912948331,-0.0090998718158714
"LOC107275694",1.7896175468793,1.174932125238,1.6380810738093,-0.0670269272346241,0.160128171832561,-0.227572938881669,-0.988485567222467,-0.887341222865408,-0.967657371072067,-0.326778158152693,-0.67793086930986,-0.619965863020379
"LOC107275698",1.17362002026706,1.10240296559088,2.01681943089158,0.359092998677362,0.364608685725293,-0.600004472560407,-1.08436272387319,-0.599091682245066,-0.659014454181851,-0.629611861955155,-0.329053146709299,-1.11540575962721
"LOC107275706",-1.80719159206051,-1.07785119311849,-1.09138637509487,0.257952989703122,0.999832306047931,0.123133413188782,0.0615800763887243,0.45968546179138,-0.614986309191291,1.41172243074298,-0.0311408739695272,1.30864966557177
"LOC107275708",-1.18026955668797,-0.90255763006476,-1.09486180424719,-0.186599404056015,-0.877327958858488,-1.1372762397241,0.858336396448671,1.15246379908244,0.262549681388226,0.723552149596198,1.2174191379399,1.16457142918308
"LOC107275722",-0.606535571479094,-0.307037054953031,-0.537326071095749,1.68553507393078,2.01701750130729,1.1728867177011,-0.500230276115933,-0.552920705791553,-0.606535571479094,-0.606535571479094,-0.551782899066523,-0.606535571479094
"LOC107275728",0.033242111402251,1.49281128075391,0.287803807824269,1.38433243420057,0.871076242857683,0.678093197015704,-0.890919156525639,-0.823154764698385,-0.190615735273869,-1.84826339011928,-0.237912042419402,-0.756493985017811
"LOC107275732",1.17739241298234,0.313950052553035,1.78179421936853,0.512909557121968,1.2426366268986,0.150570950358871,-0.871363941830986,-0.870200653820103,-1.00513596498307,-0.825822125276701,-0.729538188349595,-0.877192945022889
"LOC107275733",-0.615571894133718,-0.487802801275367,-0.357461736882821,1.51115889543138,2.15636340686049,1.1007972732214,-0.783159171428342,-0.379338321368022,-0.901825177824436,-0.337105858902743,-0.365136898815968,-0.54091771488185
"LOC107275734",-0.0206020946795159,-1.02245707194478,-0.307172100293626,-1.31038768006361,-1.2707445621365,-1.29689810754091,0.902173135489474,0.927394138696399,0.729973534486084,1.19325736313754,0.98947875394453,0.485984690904904
"LOC107275737",-0.599608317943352,-1.2804313987349,-1.23350264082645,2.17054599904387,0.516935146954947,-0.721428343377214,-0.0367552834262869,-0.0337365082451121,-0.693515498492478,0.850712512612689,0.205823629596605,0.854960702837694
"LOC107275738",-1.22729517192131,-1.19454868107988,-1.22800682193516,-0.662239948513245,-0.109440676516646,-0.296975523129691,1.43012084915367,1.46309450186383,1.23138741130068,-0.113463474073277,0.519215163935167,0.188152370915858
"LOC107275747",-0.363556212940939,-0.510267711325838,-0.686493765726348,1.86763705345472,2.15445931733208,0.418035319831232,-0.779777836680199,-0.427334063728692,-0.773634286141149,0.0194960282766461,-0.358719344446709,-0.559844497904799
"LOC107275750",0.639313448397428,0.848285251352356,0.580654987027781,1.94746307285496,1.01023112190005,0.0873144906800813,-1.00951211690701,-0.672052484748299,-1.07505350136257,-1.14742172773771,-0.745202143663622,-0.464020397793439
"LOC107275762",-0.820156727327211,-0.602138154499295,-0.162537117690517,-0.598523964050393,-0.830497883505309,-0.921572532089227,1.45385430007837,1.93987340749256,1.31923277332985,-0.62722639622475,-0.173172321598231,0.0228646160841506
"LOC107275769",-1.53842532095537,-1.61653440466285,-1.50707765149821,1.09696493862277,0.478010043959227,-0.184082305635191,0.397718858773885,0.813636460594194,0.0302816436196491,0.903095755919018,0.485799433739817,0.640612547523063
"LOC107275770",1.31199712097192,1.82750619973432,1.75300722341797,-0.540230815096844,-0.626738033789953,-0.730200209049109,-0.352973924935835,-0.558597759548765,-0.387992091619563,-0.810099775457179,-0.364182062629768,-0.521495871997193
"LOC107275776",1.33964985011536,1.84166663343475,0.758145594372907,0.691166490884343,0.482831938049558,0.0491575277692448,-1.06500532003805,-0.916336969651337,-0.820568471179462,-0.669878314054326,-0.837270267945983,-0.853558691757016
"LOC107275782",1.7698671973378,1.63505436963963,1.45681017418528,-0.789012885930203,-0.759368537401569,-0.801791013364479,-0.377460927201287,-0.110163217532154,-0.549142312916635,-0.312838510976655,-0.562084702565574,-0.599869633274151
"LOC107275792",-1.43032516247314,-1.46799438162822,-1.46598041727788,-0.199873219169263,-0.256658488070428,-0.318940541000725,0.853790425408451,0.928335224979545,0.876963471910559,0.691072939396279,0.938132487123451,0.851477660801373
"LOC107275797",0.442023383196023,0.369747132430615,-0.682074460864715,-0.731009328521248,-1.41915813627421,-1.30419320015382,-0.18114285678359,0.330082072889219,-0.262382903041584,0.116909425909204,1.33355817140701,1.9876406998071
"LOC107275807",-0.907801721592873,-1.31107671857446,-1.29491782685197,0.534701687370155,1.17585148931757,0.712789699377324,1.4953714330999,0.583905267151889,0.876202541967972,-0.577770488846652,-0.424064457136598,-0.863190905282247
"LOC107275808",-0.628467659425013,1.23281301234755,0.995210639802133,-1.05125219729092,-1.57658434919625,-1.33815726759982,-0.154396537211292,-0.180085850275004,-0.0406006928518893,1.04099416276256,1.10112182810544,0.599404910832517
"LOC107275812",-1.35241329756448,-1.2590685909377,-1.22299014213779,1.12908140993431,0.804877549511353,0.257694159434488,0.370459689018628,1.65541296470818,0.845539607682049,-0.46417717973009,-0.36265686152399,-0.401759308394974
