"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3447","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 12"
"ASV_3454","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA
"ASV_3459","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae",NA
"ASV_3460","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_3461","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV_3462","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"ASV_3465","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter"
"ASV_3472","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_3473","Bacteria","Chloroflexi","Anaerolineae","SJA-15",NA,NA
"ASV_3474","Bacteria","Elusimicrobiota","Lineage IIb",NA,NA,NA
"ASV_3477","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_3478","Bacteria","Myxococcota","bacteriap25",NA,NA,NA
"ASV_3482","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales",NA,NA
"ASV_3487","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_3490","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13",NA,NA
"ASV_3491","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA
"ASV_3492","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"ASV_3498","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family",NA
"ASV_3502","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",NA
"ASV_3508","Bacteria",NA,NA,NA,NA,NA
"ASV_3509","Bacteria","Margulisbacteria",NA,NA,NA,NA
"ASV_3510","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","M2PT2-76 termite group"
"ASV_3513","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
