"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"Acidobacteriota",0.229172017306439,0.695665922251428,0.675942762273698,0.468148148148148,1.08066459885019,0.440502528445006,1.32961909277699,0.412929229067057,0.767329180263028,0.679841897233202,0.750019789440355,1.2784034775736,0.252984425646296,0.731312013282207,0.421740421740422,0.410977850664875,0.458461781677338,0.800775071180006,0.871575951618641,0.68200687937374,0.742730720606827,0.270718887088488,0.43073640117761,0.826250247084404,0.738955188492848,1.45148213332279,4.76567604490467,5.12881490289338,4.73246135552913,5.12215435868962,4.54455406315623
"Actinobacteriota",3.63514234348144,1.53362714678156,1.51000079057633,5.05283950617284,3.24989627990596,1.70274968394437,1.47186660344555,3.01300035563283,0.836547018688816,1.38537549407115,1.08248238739808,0.954356846473029,0.758953276938888,3.38577696960114,1.58400158400158,5.55412854912964,0.553315943403684,1.92581461562797,0.780663267322819,0.850037559799154,0.801991150442478,1.63814567442596,5.63513860623185,5.09586874876458,2.14573618904608,4.75785560323518,14.4514621735601,15.5489496630995,15.7530717399921,12.8103434599825,11.0008320456436
"Alphaproteobacteria",15.6311120769702,9.01005948734165,11.4258044114159,22.2696296296296,12.4404844222297,9.05499367888748,9.00900900900901,24.4122179634093,6.5400969049738,5.27272727272727,4.58521333016702,6.5876309029836,2.04363981342399,17.8716843894533,14.952974952975,11.5844381656162,7.81558770057703,1.77159126858589,5.66227914146804,5.66362234610366,3.75711125158028,12.0420503497609,38.2209401118334,23.0005930025697,7.32632577254406,14.2636793292333,8.92153562872473,9.23900118906064,9.65319064605628,9.34599825493773,9.32287333095606
"Armatimonadota",0.0138293458719403,0,0.0118586449521701,0.0454320987654321,0,0,0,0.00197573793811989,0,0,0,0,0,0.0632486065541369,0,0.00592756515382032,0,0,0,0,0,0,0.0237102606152813,0.0138367266258154,0,0,0.01385946502465,0.0118906064209275,0.00396353547364249,0.015864202427223,0
"Bacteroidota",8.36280301084616,10.0041502796498,9.1054628824413,7.2158024691358,15.6903807021356,10.5799620733249,11.2652125810021,4.89192713478484,13.0208642341541,9.6699604743083,9.62558378849046,12.5014819205691,12.2875326112736,11.9124797406807,11.6364716364716,9.00199561360179,12.5187732195083,15.6161024992091,10.7316494723112,12.9225477404816,11.178492414665,7.86072797691973,5.5047321728478,6.86696975686895,6.37595827076583,8.5506931123811,4.48254697368682,4.34998018232263,3.96948077685295,4.81676846196557,5.25377392131225
"Bdellovibrionota",0.102732283620128,0.298424870056721,0.405170369199146,0.377283950617284,0.122488492008614,0.0711125158027813,0.163979769242927,0.0987868969059944,0.23336299812123,0.0790513833992095,0.209768067759044,0.365540407034183,0.124515771997786,0.0770842392378543,0.097020097020097,0.106696172768766,0.185756066714094,0.24122113255299,0.0968417724020712,0.219428300320247,0.189633375474083,0.128443267596728,0.122503013178953,0.0632536074322989,0.245001185489607,0.237299531333426,0.0930564080226503,0.0911613158937773,0.0753071739992073,0.093202189259935,0.114901541265502
"Caldisericota",0,0,0,0,0,0,0.0197565987039671,0,0,0,0,0,0.00988220412680844,0,0,0.00592756515382032,0,0.00395444479595065,0,0,0,0.00197605027071889,0,0.00197667523225934,0,0,0,0,0,0,0
"Calditrichota",0,0.0118579418565584,0.0177879674282552,0,0,0,0,0.00790295175247955,0.00593295757935331,0,0,0,0,0,0,0.00987927525636719,0,0,0.045456342147911,0.00593049460324991,0,0.00197605027071889,0,0.0138367266258154,0,0,0.0554378600986002,0.0376535869996036,0.0535077288941736,0.0654398350122948,0.0475454653512421
"Campylobacterota",0.0138293458719403,0.0869582402814285,0.100798482093446,0.0730864197530864,0.148171562913646,0.0987673830594184,0.0493914967599178,0.0276603311336784,0.126569761692871,0.0691699604743083,0.0890524815958205,0.0908911282355266,0.0474345798086805,0.168004111159426,0.0594000594000594,0.0237102606152813,0.0375464390166785,0.0533850047453338,0.167990829677062,0.0632586091013324,0.0316055625790139,0.0217365529779078,0.00592756515382032,0.0731369835935956,0.462340946811033,0.0692123633055825,0.00197992357495001,0,0,0,0
"Chloroflexi",0.414880376158208,0.171940156920097,0.136374416949957,0.377283950617284,0.0928541794258846,0.116545512010114,0.160028449502134,0.18374362824515,0.249184218332839,0.108695652173913,0.0277052164964775,0.0948429164196799,0.100798482093446,0.264853539945448,0.172260172260172,0.163995969255695,0.288514741917635,0.286697247706422,0.219376259931223,0.343968686988495,0.296302149178255,0.331976445480773,0.324040228408844,0.30045463530342,0.703390500276614,1.47125709426724,6.90993327657552,8.74157748711851,8.49583828775268,8.36836678036012,6.86833868219819
"Cyanobacteria",0.00395124167769722,0.00790529457103895,0.00395288165072338,0,0,0,0.013829619092777,0.00790295175247955,0.00593295757935331,0.00592885375494071,0,0.00592768227622999,0.0296466123804253,0.00592955686445033,0.0099000099000099,0.0118551303076406,0.00988064184649435,0.0118633343878519,0,0,0.00592604298356511,0,0.00790342020509375,0.00395335046451868,0.00395163202402592,0,0,0,0.00792707094728498,0.00396605060680574,0.00792424422520702
"Deinococcota",0.0158049667107889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968417724020712,0,0,0,0.0138309853589141,0,0.0276614241681815,0.0711898594000277,0,0,0,0,0
"Desulfobacterota",0.964102969358121,3.23919445048321,2.2906949165942,1.45382716049383,4.10929134480511,1.52694374209861,1.86897423739529,1.1222191488521,3.92959557005834,2.9703557312253,1.61086044486662,2.8788776921557,1.42303739426042,1.74921927501285,1.58994158994159,0.87332793266286,1.15010671093194,1.03408731414109,2.96256769042255,2.3880124935753,1.66719342604298,0.954432280757223,1.4581810278398,2.83652895829215,2.00940488421718,3.58520041922917,12.396301502762,9.8692033293698,11.1771700356718,11.7732212263028,15.6067990015452
"Elusimicrobiota",0,0,0,0,0,0,0,0,0.00395530505290221,0,0.0257262724610148,0,0,0,0,0,0,0,0.0474327048499941,0.00197683153441664,0.00790139064475348,0,0.00395171010254688,0.00593002569677802,0.0118548960720778,0.00988748047222607,0.0118795414497,0.00792707094728498,0.0297265160523187,0.00793210121361149,0.0297159158445263
"FCPU426",0,0.0138342654993182,0,0,0,0,0,0.00592721381435966,0.0118659151587066,0,0,0.00987947046038332,0,0,0,0.00592756515382032,0,0,0,0,0.00197534766118837,0.00197605027071889,0.00197585505127344,0,0,0,0,0,0.0138723741577487,0,0
"Fibrobacterota",1.65161902127744,2.83404810371746,3.12277650407147,1.72049382716049,3.00689491672758,2.38226927939317,4.93322269638059,0.946378472359426,3.78127163057451,3.3300395256917,4.37148737433705,4.09207666469077,1.55941181121037,1.64051073249792,1.25730125730126,2.51131177016854,3.38115563987037,2.72856690920595,1.76686825566228,2.90198869252362,2.85042667509482,0.733114650436707,1.37124340558377,3.01442972919549,1.0511341183909,1.53849196147838,0.386085097115251,0.336900515259612,0.3824811732065,0.339097326881891,0.332818257458695
"Firmicutes",3.89197305253176,0.442696495978181,2.78480512293462,5.01333333333333,1.03720094039552,0.742730720606827,1.63387071281808,3.26787054965029,0.601206368041135,0.517786561264822,0.470988680440117,0.934597905552262,0.245078662344849,5.11127801715618,3.34026334026334,0.642152891663868,0.636313334914236,0.336127807655805,0.818214158662398,0.535721345826909,0.673593552465234,1.98000237126032,3.75807630752208,3.60150227317652,0.770568244685055,1.12124028555044,3.46288633258756,3.53151010701546,3.20451843043995,2.9031490441818,3.13998177423828
"Fusobacteriota",0,0.00395264728551948,0,0.00592592592592593,0,0.00987673830594185,0,0.00395147587623978,0,0,0,0,0.00988220412680844,0,0,0.00197585505127344,0.00395225673859774,0,0.0138345389145816,0.00593049460324991,0,0.00592815081215666,0.00790342020509375,0.00395335046451868,0,0,0,0.00792707094728498,0,0,0.0198106105630176
"Gammaproteobacteria",55.7579469348243,47.2262297673867,44.5707170527314,37.9140740740741,40.3639093585159,54.4583596713021,37.6541014698909,51.5134152605998,44.6356175220014,47.403162055336,38.1184200110821,33.556609365738,60.6549924895249,40.4929438273313,50.3950103950104,51.672561300903,38.1195162437752,43.032268269535,58.563579588126,49.1835685762859,51.7047250316056,58.8309686598427,29.8927110707159,35.404230084997,54.6076029400142,36.8071348059088,18.9478686122716,16.4169639318272,17.7427665477606,17.2364559371778,18.316890526566
"Gemmatimonadota",0.0237074500661833,0,0.0237172899043403,0.0533333333333333,0.00395124167769722,0,0.0177809388335704,0.0138301655668392,0,0,0,0,0,0.0316243032770684,0.0257400257400257,0.0790342020509375,0.015809026954391,0.0079088895919013,0.00395272540416617,0,0,0.0158084021657511,0.0711307818458438,0.011860051393556,0.0414921362522722,0.128537246138939,1.20577345714455,1.11375346809354,1.12564407451447,1.16205282779408,0.839969887871944
