diff	lwr	upr	p adj	group
WT-Line22-31	283.390870294159	-14.4171707974269	581.198911385744	0.0720534746730096	Chao1
BS-Line22-33	638.052998950367	304.143529144659	971.962468756076	1.00052467171263e-05	Chao1
Line5-7-Line22-12	29.6430158388138	-288.72717181576	348.013203493388	0.999987481024501	Chao1
Line5-2-Line22-13	31.9819032245764	-323.966787577919	387.930594027072	0.999990193113885	Chao1
Line49-3-Line22-12	151.643617884009	-182.265851921699	485.553087689718	0.825153918745395	Chao1
WT-Line22-12	282.86420659224	-14.943834499345	580.672247683826	0.0729985717192728	Chao1
BS-Line22-13	637.526335248449	303.61686544274	971.435805054158	1.01645143704143e-05	Chao1
Line5-2-Line5-73	2.33888738576263	-353.609803416733	358.287578188258	1	Chao1
Line49-3-Line5-71	122.000602045196	-211.908867760513	455.910071850904	0.935208530565265	Chao1
WT-Line5-72	253.221190753427	-44.5868503381588	551.029231845012	0.146078245160915	Chao1
BS-Line5-73	607.883319409635	273.973849603927	941.792789215344	2.47131083460639e-05	Chao1
Line49-3-Line5-21	119.661714659433	-250.251015755095	489.574445073961	0.965488822285335	Chao1
WT-Line5-21	250.882303367664	-86.8002745596102	588.564881294938	0.279251859644425	Chao1
BS-Line5-23	605.544432023873	235.631701609344	975.457162438401	0.00015335752107748	Chao1
WT-Line49-32	131.220588708231	-183.14478307678	445.585960493242	0.878318193116497	Chao1
BS-Line49-33	485.882717364439	137.125650533314	834.639784195565	0.00162717941144264	Chao1
BS-WT3	354.662128656209	40.2967568711974	669.02750044122	0.0176927582550505	Chao1
Line9-1-Line22-13	1.16666666666652	-305.94092908204	308.274262415373	1	Observed
Line22-3-Line22-13	3.99999999999989	-303.107595748707	311.107595748706	0.999999999985896	Observed
Line5-7-Line22-13	32.4999999999998	-274.607595748707	339.607595748706	0.999969997454127	Observed
Line5-2-Line22-14	34.1666666666666	-309.19006358365	377.523396916983	0.999980278380578	Observed
Line49-3-Line22-13	150.466666666666	-171.630497094839	472.563830428172	0.803972463295605	Observed
WT-Line22-13	281.666666666666	-5.60618437521686	568.93951770855	0.058048773663832	Observed
BS-Line22-14	635.866666666666	313.769502905161	957.963830428172	5.30939411880205e-06	Observed
Line22-3-Line9-14	2.83333333333337	-304.274262415373	309.94092908204	0.999999999998832	Observed
Line5-7-Line9-12	31.3333333333333	-275.774262415373	338.44092908204	0.999976610374389	Observed
Line5-2-Line9-13	33.0000000000001	-310.356730250316	376.356730250317	0.999984445605069	Observed
Line49-3-Line9-12	149.3	-172.797163761505	471.397163761505	0.809989055775745	Observed
WT-Line9-12	280.5	-6.77285104188337	567.772851041883	0.0598604952529919	Observed
BS-Line9-14	634.7	312.602836238494	956.797163761505	5.50540621779838e-06	Observed
Line5-7-Line22-32	28.4999999999999	-278.607595748707	335.607595748706	0.999987761258549	Observed
Line5-2-Line22-32	30.1666666666667	-313.19006358365	373.523396916983	0.999991591166618	Observed
Line49-3-Line22-32	146.466666666667	-175.630497094839	468.563830428172	0.824230180658992	Observed
WT-Line22-32	277.666666666667	-9.60618437521674	564.93951770855	0.0644682234075143	Observed
BS-Line22-34	631.866666666666	309.769502905161	953.963830428172	6.01214147322171e-06	Observed
Line5-2-Line5-74	1.66666666666686	-341.69006358365	345.023396916983	1	Observed
Line49-3-Line5-72	117.966666666667	-204.130497094839	440.063830428172	0.93443319229966	Observed
WT-Line5-73	249.166666666667	-38.1061843752166	536.43951770855	0.130457526375762	Observed
BS-Line5-74	603.366666666667	281.269502905161	925.463830428172	1.45803386325527e-05	Observed
Line49-3-Line5-22	116.3	-240.526781148562	473.126781148562	0.96407208453308	Observed
WT-Line5-22	247.5	-78.2367952617112	573.236795261711	0.254166846731416	Observed
BS-Line5-24	601.7	244.873218851438	958.526781148562	9.41793528056456e-05	Observed
WT-Line49-33	131.2	-172.044453341503	434.444453341503	0.857513909210886	Observed
BS-Line49-34	485.4	148.980484454511	821.819515545488	0.00101511566374968	Observed
BS-WT4	354.2	50.9555466584967	657.444453341503	0.0125806105925861	Observed
Line49-3-Line22-14	0.13112429979799	-0.49744343433714	0.759692033933119	0.997370527572999	Shannon
Line5-7-Line22-14	0.231465777419719	-0.367850041884997	0.830781596724434	0.915069829943843	Shannon
WT-Line22-14	0.262478505419451	-0.29813011015854	0.823087120997442	0.802202144633282	Shannon
Line9-1-Line22-14	0.315470236637499	-0.283845582667216	0.914786055942215	0.6950080001671	Shannon
Line5-2-Line22-15	0.32468682739798	-0.345368628580182	0.994742283376142	0.773869614345585	Shannon
Line22-3-Line22-14	0.44596916135592	-0.153346657948795	1.04528498066064	0.27744998064612	Shannon
BS-Line22-15	1.33065449631289	0.70208676217776	1.95922223044802	1.27497007851307e-06	Shannon
Line5-7-Line49-32	0.100341477621729	-0.5282262565134	0.728909211756858	0.999528928566742	Shannon
WT-Line49-34	0.131354205621461	-0.460422749816278	0.723131161059201	0.996130980094166	Shannon
Line9-1-Line49-32	0.18434593683951	-0.44422179729562	0.812913670974639	0.979861627994217	Shannon
Line5-2-Line49-32	0.19356252759999	-0.502779528585755	0.889904583785735	0.985154086694855	Shannon
Line22-3-Line49-32	0.314844861557931	-0.313722872577199	0.94341259569306	0.744067742192955	Shannon
BS-Line49-35	1.1995301965149	0.543012609909134	1.85604778312067	2.31331994142714e-05	Shannon
WT-Line5-74	0.0310127279997321	-0.529595887578259	0.591621343577723	0.999999656238212	Shannon
Line9-1-Line5-72	0.0840044592177804	-0.515311360086935	0.683320278522496	0.999800660934774	Shannon
Line5-2-Line5-75	0.0932210499782613	-0.576834405999901	0.763276505956423	0.99981033604198	Shannon
Line22-3-Line5-72	0.214503383936202	-0.384812435368514	0.813819203240917	0.941568397561079	Shannon
BS-Line5-75	1.09918871889317	0.470620984758041	1.7277564530283	5.06017168451223e-05	Shannon
Line9-1-WT2	0.0529917312180483	-0.507616884359943	0.61360034679604	0.999986117619359	Shannon
Line5-2-WT2	0.0622083219785292	-0.573462097875575	0.697878741832633	0.999982400715863	Shannon
Line22-3-WT2	0.18349065593647	-0.377117959641522	0.744099271514461	0.963254855560664	Shannon
BS-WT5	1.06817599089344	0.476399035455699	1.65995294633118	2.8846320379472e-05	Shannon
Line5-2-Line9-14	0.00921659076048087	-0.660838865217681	0.679272046738643	0.999999999979318	Shannon
Line22-3-Line9-15	0.130498924718421	-0.468816894586294	0.729814744023137	0.996564417164477	Shannon
BS-Line9-15	1.01518425967539	0.386616525540261	1.64375199381052	0.000190356255221347	Shannon
Line22-3-Line5-22	0.12128233395794	-0.548773122020222	0.791337789936102	0.998933586507702	Shannon
BS-Line5-25	1.00596766891491	0.309625612729164	1.70230972510065	0.000997751311740513	Shannon
BS-Line22-35	0.884685334956969	0.25611760082184	1.5132530690921	0.0014216000701075	Shannon
diff	lwr	upr	p adj	group
22-1-9-1	11.1666666666667	-248.384867614155	270.718200947488	0.999939044453467	Observed
5-7-9-1	29.5000000000002	-230.051534280821	289.051534280822	0.997177794465042	Observed
WT-9-1	274.375	31.5867711274135	517.163228872587	0.0210758931303061	Observed
Bulk soil-9-1	651.4	379.180054290136	923.619945709864	1.82270944448781e-06	Observed
5-7-22-1	18.3333333333335	-241.218200947488	277.884867614155	0.99956346982331	Observed
WT-22-1	263.208333333333	20.4201044607468	505.99656220592	0.0287941483066756	Observed
Bulk soil-22-1	640.233333333333	368.013387623469	912.453279043197	2.45021764200271e-06	Observed
WT-5-7	244.875	2.08677112741327	487.663228872586	0.0473163038152312	Observed
Bulk soil-5-7	621.9	349.680054290136	894.119945709864	3.99618133717361e-06	Observed
Bulk soil-WT	377.025	120.738394860675	633.311605139325	0.00179301267994092	Observed
5-7-22-11	0.197541200052507	-0.320227145469506	0.715309545574521	0.796032969091691	Shannon
WT-22-11	0.244028054276278	-0.240299884388763	0.728355992941319	0.58668348247742	Shannon
9-1-22-1	0.275523526482227	-0.242244819039786	0.793291872004241	0.535852847627369	Shannon
Bulk soil-22-11	1.34253233576659	0.799492313680679	1.8855723578525	1.03336396950482e-06	Shannon
WT-5-71	0.0464868542237706	-0.437841084441271	0.530814792888812	0.998540176104341	Shannon
9-1-5-7	0.0779823264297201	-0.439786019092294	0.595750671951734	0.991674228916431	Shannon
Bulk soil-5-71	1.14499113571408	0.601951113628172	1.68803115779999	1.46241212800602e-05	Shannon
9-1-WT	0.0314954722059495	-0.452832466459092	0.515823410870991	0.999685301389147	Shannon
Bulk soil-WT1	1.09850428149031	0.587249004613886	1.60975955836673	1.0854598216703e-05	Shannon
Bulk soil-9-11	1.06700880928436	0.523968787198452	1.61004883137027	4.28414154786116e-05	Shannon
diff	lwr	upr	p adj	group
22-1-9-1	12.3333333333334	-247.310838465979	271.977505132646	0.999909591378713	Observed
5-7-9-1	30.5	-229.144171799313	290.144171799313	0.996792705034569	Observed
WT-9-1	276.583333333333	33.7084499969083	519.458216669758	0.019854943288197	Observed
BS-9-1	653.933333333333	381.616228574403	926.250438092263	1.71530141868104e-06	Observed
5-7-22-1	18.1666666666666	-241.477505132646	277.810838465979	0.999579547718285	Observed
WT-22-1	264.25	21.3751166635749	507.124883336425	0.0280491939591474	Observed
BS-22-1	641.6	369.28289524107	913.91710475893	2.3772853363635e-06	Observed
WT-5-7	246.083333333333	3.20844999690826	488.958216669758	0.0459295917170129	Observed
BS-5-7	623.433333333333	351.116228574403	895.750438092263	3.85829107130142e-06	Observed
BS-WT	377.35	120.971922640376	633.728077359624	0.00178307490426288	Observed
5-7-22-11	0.210029660601461	-0.305318235684142	0.725377556887064	0.754959951257927	Shannon
WT-22-11	0.254051880426465	-0.228011935297395	0.736115696150324	0.545025039647066	Shannon
9-1-22-1	0.285385200671947	-0.229962695613656	0.80073309695755	0.497520879932989	Shannon
BS-22-11	1.3532750128789	0.812773579368689	1.89377644638912	8.26416570065547e-07	Shannon
WT-5-71	0.0440222198250035	-0.438041595898856	0.526086035548863	0.998799002365231	Shannon
9-1-5-7	0.0753555400704862	-0.439992356215117	0.590703436356089	0.99255966835306	Shannon
BS-5-71	1.14324535227744	0.602743918767228	1.68374678578766	1.3916243377321e-05	Shannon
9-1-WT	0.0313333202454826	-0.450730495478377	0.513397135969342	0.999685894178773	Shannon
BS-WT1	1.09922313245244	0.590357857698062	1.60808840720681	9.96839309874709e-06	Shannon
BS-9-11	1.06788981220696	0.527388378696742	1.60839124571717	3.9480452564189e-05	Shannon
