"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_1945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,91,75,54,17
"ASV_1946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,65,86,50,100,0
"ASV_1947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,88,62,90,0
"ASV_1948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,99,84,70,0
"ASV_1951",0,0,0,0,0,0,0,0,45,0,0,28,0,17,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1953",66,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0
"ASV_1954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,102,99,38,91,0
"ASV_1956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,67,65,45,87
"ASV_1957",0,25,20,0,0,25,0,0,37,0,0,38,0,38,0,0,0,0,0,49,47,0,0,31,0,0,0,0,0,0,0
"ASV_1958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,80,66,117,0
"ASV_1962",0,10,0,0,73,0,0,17,0,0,0,0,0,0,22,0,0,0,17,52,13,0,0,0,0,7,0,0,0,0,0
"ASV_1964",12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0
"ASV_1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,108,0,86,123,0
"ASV_1966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,48,126,108
"ASV_1967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,14,10,23,70,74,50,43,0
"ASV_1968",0,19,0,32,0,136,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1969",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,92,82,0
"ASV_1970",18,0,8,0,0,0,0,0,0,0,0,0,0,30,0,81,0,0,0,0,0,9,22,0,14,0,0,0,0,0,0
"ASV_1971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,29,86,75,54,63,0
"ASV_1972",0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,16,0,38,110,0,0,0,0,21,0,7,0,0,0,0,0
"ASV_1973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,52,70,68,55,64
"ASV_1975",0,0,0,17,0,0,0,0,0,0,0,0,0,33,45,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ASV_1976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,77,45,67,56
"ASV_1977",0,0,0,68,0,19,0,9,9,0,0,0,0,7,0,14,0,0,0,12,11,14,0,0,0,0,0,0,0,0,0
"ASV_1978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,80,59,76,31
"ASV_1979",6,0,0,0,0,0,0,0,14,0,0,5,10,0,0,0,0,0,0,0,0,0,9,9,0,22,44,64,33,71,0
"ASV_1980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,115,0,67,66,70
"ASV_1981",0,0,0,42,0,12,44,0,6,17,0,46,0,8,0,0,0,0,18,0,0,12,0,50,10,6,0,0,0,0,0
"ASV_1984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,77,58,49,62,66
"ASV_1985",15,0,0,0,0,0,26,0,0,0,0,0,0,15,0,0,0,0,0,0,0,76,56,0,0,0,0,0,0,0,0
"ASV_1986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,107,88,67,0
"ASV_1988",0,0,0,0,0,12,0,0,0,0,0,0,0,0,55,0,21,0,0,42,40,16,0,0,0,0,0,0,0,0,0
"ASV_1991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,65,65,57,0
"ASV_1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,89,49,73,55
"ASV_1994",12,7,7,0,15,13,0,0,0,0,0,3,29,0,0,0,7,16,0,0,0,0,8,2,7,1,4,25,3,2,27
"ASV_1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,68,81,47,53,64
"ASV_1997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,15,56,17,0,0,0,21,0,0,0,0,0
"ASV_1998",0,13,0,0,0,0,0,0,11,0,0,0,0,12,14,14,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"ASV_1999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,25,56,159
"ASV_2000",0,34,0,0,0,0,0,0,32,0,0,18,0,0,0,0,0,0,20,35,26,0,0,26,14,0,16,0,26,30,0
"ASV_2001",0,0,0,0,66,0,0,0,20,0,0,0,0,13,0,0,0,0,17,33,0,0,0,14,0,25,0,0,0,34,0
"ASV_2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,83,58,69,68,34
"ASV_2004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,94,54,54,50
"ASV_2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,62,108,70
"ASV_2006",11,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,75,63,77,46,0
"ASV_2007",0,0,7,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,91,36,38,41,73
"ASV_2008",0,0,0,31,108,0,0,0,23,0,0,0,0,13,0,0,24,0,0,35,0,11,0,12,0,0,0,0,0,0,0
"ASV_2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,72,52,76,54
"ASV_2010",0,0,0,0,57,0,0,4,0,0,0,0,0,0,0,8,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0
