"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_1030",0,0,0,0,0,0,0,0,0,0,0,0,45,0,106,0,0,0,0,24,37,23,0,0,0,0,0,0,0,0,0
"ASV_1031",0,28,24,12,28,0,11,2,18,0,27,18,0,13,50,0,0,16,10,18,8,5,0,7,0,0,0,0,0,0,0
"ASV_1032",0,0,0,0,0,0,17,0,22,48,0,74,0,22,0,0,25,0,0,0,10,0,21,76,40,18,0,0,0,0,0
"ASV_1033",0,0,19,35,0,8,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,55,17,6,0,0,0,0,0,0,0
"ASV_1034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,38,75,66,51,33
"ASV_1035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,41,77,49
"ASV_1037",0,0,0,0,56,0,33,0,38,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,0,0,4,0,9,13,0
"ASV_1038",0,0,9,0,115,23,32,4,7,0,0,0,0,9,0,0,0,0,38,0,17,0,0,0,3,0,7,0,7,7,0
"ASV_1039",0,0,18,0,23,0,8,13,0,0,0,0,0,0,0,12,0,31,0,16,28,0,0,0,0,11,14,0,0,0,13
"ASV_1040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,45,63,36,44,55
"ASV_1041",0,0,6,0,0,6,22,15,8,7,0,8,0,0,29,0,0,16,10,0,0,0,0,11,0,5,0,0,0,3,0
"ASV_1043",0,0,0,6,43,0,0,0,0,0,0,0,82,19,16,0,0,49,2,30,14,18,0,0,0,0,0,0,0,0,0
"ASV_1044",0,0,22,23,0,12,5,10,0,0,0,0,0,14,34,15,0,0,0,12,14,26,4,0,11,15,0,0,0,0,0
"ASV_1045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,56,57,50,51
"ASV_1046",0,0,0,0,0,6,5,0,0,26,0,13,0,0,0,0,0,0,11,4,0,0,11,28,0,0,0,0,0,0,0
"ASV_1047",0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,9,19,28,43,57,93
"ASV_1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,43,38,55,64
"ASV_1049",0,0,0,13,0,0,0,5,0,0,0,0,21,22,0,9,31,26,4,13,13,20,0,0,0,0,0,0,0,0,0
"ASV_1050",0,0,0,15,15,0,0,0,0,0,0,0,18,0,19,0,59,38,0,19,18,0,0,0,0,0,0,0,0,0,0
"ASV_1051",0,92,0,0,0,0,0,0,19,0,0,130,0,0,0,0,0,0,21,0,19,0,12,0,0,23,0,0,0,0,0
"ASV_1052",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,44,54,28,48,54
"ASV_1053",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,78,5,7,5,0,0,0,0,17,33,17,35,72
"ASV_1055",9,0,5,0,0,0,0,0,15,0,13,21,0,0,0,0,32,0,14,18,19,8,0,6,0,33,0,17,0,0,0
"ASV_1056",0,0,0,0,0,0,0,0,0,0,0,0,77,0,30,0,0,0,0,29,0,45,0,0,0,0,0,0,0,0,0
"ASV_1057",0,0,104,0,0,12,51,0,0,18,0,0,8,13,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"ASV_1058",29,0,11,19,0,16,8,0,0,0,0,0,32,4,49,10,0,0,0,27,19,18,5,0,0,0,0,0,0,0,0
"ASV_1059",0,0,0,22,18,0,0,0,0,0,0,0,22,0,0,32,51,42,0,0,46,0,0,0,0,0,0,0,0,0,0
"ASV_1060",0,0,21,2,0,10,0,13,14,0,0,0,12,12,28,9,0,0,6,9,8,3,3,0,0,0,10,0,7,2,14
"ASV_1061",0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,9,4,0,0,0,14,17,27,45,34,47,54
"ASV_1062",0,0,0,19,99,0,0,0,0,0,0,0,28,14,53,0,0,86,0,0,0,14,0,0,0,0,0,0,0,0,0
"ASV_1063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,28,44,57,59,62
"ASV_1064",4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,67,38,59,48,0
"ASV_1065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,30,65,51,60,80
"ASV_1066",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,56,49,47,43,43
"ASV_1067",0,0,0,0,0,0,0,0,0,0,0,0,14,20,42,0,0,42,0,37,26,29,0,0,0,0,0,0,0,0,0
"ASV_1068",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,5,3,9,0,61,40,32,39,60
"ASV_1069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,51,32,57,39
"ASV_1070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,50,33,52,45,53
"ASV_1071",44,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,179,29,0,32,0,0,0,0,0
"ASV_1074",62,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,10,0,8,0,0,0,0,17,0,0,0,0,0,0,0
"ASV_1075",0,0,0,16,0,25,57,0,0,0,0,0,0,17,0,0,0,0,0,5,46,0,0,0,0,15,0,0,0,0,0
