"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_27563","ASV_27563",0.032258064516129,1.94361986371726e-07,-6.71138867111412,"Retain","Discard","Discard","Both_Fail"
"ASV_27564","ASV_27564",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27565","ASV_27565",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27566","ASV_27566",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27567","ASV_27567",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27568","ASV_27568",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27569","ASV_27569",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27570","ASV_27570",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27571","ASV_27571",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27572","ASV_27572",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27573","ASV_27573",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27574","ASV_27574",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27575","ASV_27575",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27576","ASV_27576",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27577","ASV_27577",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27578","ASV_27578",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27579","ASV_27579",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27580","ASV_27580",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27581","ASV_27581",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27582","ASV_27582",0.032258064516129,1.34559420834723e-07,-6.87108589081508,"Retain","Discard","Discard","Both_Fail"
"ASV_27583","ASV_27583",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27584","ASV_27584",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27585","ASV_27585",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27586","ASV_27586",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27587","ASV_27587",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27588","ASV_27588",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27589","ASV_27589",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27590","ASV_27590",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27591","ASV_27591",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27592","ASV_27592",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27593","ASV_27593",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27594","ASV_27594",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27595","ASV_27595",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27596","ASV_27596",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27597","ASV_27597",0.032258064516129,1.48758188952354e-07,-6.82751911757299,"Retain","Discard","Discard","Both_Fail"
"ASV_27598","ASV_27598",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27599","ASV_27599",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27600","ASV_27600",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27601","ASV_27601",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27602","ASV_27602",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27603","ASV_27603",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27604","ASV_27604",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27605","ASV_27605",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27606","ASV_27606",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27607","ASV_27607",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27608","ASV_27608",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27609","ASV_27609",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27610","ASV_27610",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27611","ASV_27611",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27612","ASV_27612",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27613","ASV_27613",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27614","ASV_27614",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27615","ASV_27615",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27616","ASV_27616",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
"ASV_27617","ASV_27617",0.032258064516129,1.99013292097779e-07,-6.70111791609313,"Retain","Discard","Discard","Both_Fail"
